series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Carbs (g/day),330.0792475728155,340.99038834951455,344.6529368932039,347.84516990291263,354.31504854368933,346.86063106796115,359.919854368932,378.5364563106796,383.7508495145631,386.3833495145631,402.7964077669903,401.5490533980583,396.94172330097086,405.0853155339805,408.74842233009707,413.6873786407767,403.63058252427186,421.34495145631064,409.74898058252427,402.0203155339806,403.18143203883494
Carbs (g/day),426.6516262135922,432.9421844660194,442.0247087378641,418.7806310679611,410.96796116504856,430.66400485436895,421.60152912621356,425.8528398058252,436.2390048543689,435.3533495145631,448.75446601941746,456.11466019417475,459.7711650485437,458.66990291262135,446.0708252427184,445.0710194174757,441.2570873786408,437.02575242718444,437.1641990291262,443.8195145631068,448.1713106796116
Carbs (g/day),480.07495145631066,487.0266990291262,504.11565533980576,522.9042961165048,519.379854368932,517.117718446602,524.5818689320389,527.4498786407767,529.0572330097087,545.6959466019417,521.2017718446601,523.6534223300971,537.7122572815533,534.245995145631,531.7161893203884,538.3227184466019,530.236213592233,526.1119660194174,546.416577669903,555.0086650485437,546.6288834951456
Carbs (g/day),264.94038834951454,271.541140776699,285.2740776699029,293.40092233009705,303.7956553398058,308.01235436893205,314.4951699029126,320.4433980582524,328.6881796116505,337.6389077669903,408.0898300970874,415.6419902912621,409.801067961165,422.1677184466019,412.2362378640776,407.020072815534,402.30997572815534,402.4542718446602,409.2433980582524,408.59830097087377,404.40252427184464
Carbs (g/day),300.0729368932039,289.7381796116505,284.0198058252427,282.8203155339806,291.4867233009709,318.78063106796117,313.22354368932037,326.0197572815534,320.30225728155335,306.40856796116503,293.84320388349516,298.34179611650484,297.50169902912626,305.89349514563105,316.00978155339806,316.1427184466019,322.7162621359223,327.75393203883493,332.78966019417476,333.3181067961165,339.65143203883497
Carbs (g/day),433.0869174757281,429.0122572815534,415.2943203883495,420.9597087378641,420.54055825242716,422.262427184466,420.72587378640776,419.6521601941747,420.6023786407767,415.5111165048544,440.4930825242718,434.0281553398058,422.2686165048543,432.98097087378636,427.99635922330094,434.03684466019416,425.74995145631067,430.9531310679612,432.50667475728153,423.7672572815534,431.1549029126213
Carbs (g/day),377.6053398058252,377.8547087378641,370.40563106796117,390.4131796116505,419.30055825242715,430.21075242718445,442.04708737864075,420.9197087378641,431.97308252427183,432.54160194174756,466.6459466019418,457.5465533980582,453.8068689320388,460.5471359223301,467.4296116504854,474.93288834951454,471.53492718446597,455.0084466019417,472.1312621359223,487.02606796116504,492.6815533980582
Carbs (g/day),347.9739563106796,353.00157766990293,362.9538592233009,365.46043689320385,354.6310194174757,356.5589805825242,358.01533980582525,363.7364077669903,371.92080097087376,370.17699029126214,391.98827669902914,379.3738106796116,388.57842233009706,395.020072815534,380.1630339805825,373.7902184466019,376.26446601941745,375.2146601941747,367.4420145631068,372.9835922330097,376.3501213592233
Carbs (g/day),454.59611650485436,450.6457766990291,447.1458980582524,447.5919902912621,438.943786407767,451.84558252427183,450.1281067961165,451.7076213592233,450.9191504854369,439.18953883495146,422.5520873786408,433.87344660194174,434.22235436893203,429.26317961165046,437.13123786407766,429.682281553398,427.6740291262136,430.1143932038835,431.0884708737864,415.27669902912623,397.6283495145631
Carbs (g/day),403.70106796116505,419.2682766990291,433.68910194174754,442.732427184466,453.1631553398058,494.3740048543689,531.4915048543689,536.08213592233,532.7960922330097,517.0153640776699,511.6379854368932,514.5401699029126,508.06208737864074,512.9408252427185,500.1182766990291,501.9758737864078,506.01529126213586,507.95092233009706,509.34885922330096,527.9542233009709,536.1771844660194
