series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Fat (g/person/day),33.87012,29.232199,31.66532,30.613586,35.640656,37.427162,31.360086,32.642143,30.400152,31.081984,37.98676,35.84284,37.36274,37.957222,42.310184,39.029076,41.57753,40.76289,42.018475,41.10417,38.89615
Fat (g/person/day),78.480095,83.33747,84.70474,86.24786,93.16294,93.37276,96.93343,97.115425,102.057106,109.57605,105.063034,105.8946,108.85469,108.766,111.27725,111.99999,116.84985,119.021454,116.581856,114.73024,112.78916
Fat (g/person/day),67.50999,72.0467,67.39199,62.781704,65.66594,63.43596,70.86122,69.308235,69.466675,67.64692,84.81443,94.12154,88.391846,98.06836,98.002495,94.26863,101.560135,97.71602,87.95694,93.1825,100.596176
Fat (g/person/day),32.939445,33.43733,34.013073,36.790516,36.658924,38.419304,38.655907,39.80613,40.88066,41.37293,54.300945,57.20996,54.246513,56.664646,63.00424,59.182705,58.08022,59.962418,56.894028,55.587246,55.05816
Fat (g/person/day),78.114296,75.63488,76.33651,76.846016,77.46665,84.67394,84.68341,86.97459,84.62537,84.447754,94.24245,97.99859,101.753944,100.63539,96.18642,97.70115,96.97709,96.00803,97.75566,98.13519,90.129166
Fat (g/person/day),115.9628,113.75674,98.50713,98.13355,100.39707,105.94183,105.99374,109.23602,109.63817,109.12951,103.393936,105.29105,113.53336,111.04403,118.00504,119.90321,118.4936,118.123795,120.85672,124.02739,123.87783
Fat (g/person/day),40.142525,41.673935,47.828945,56.59325,55.224598,62.343063,65.92433,76.252815,81.49412,77.9672,86.80899,92.88653,96.212654,100.44841,100.787704,99.43584,99.574066,103.75171,103.8107,106.37159,105.12198
Fat (g/person/day),131.65773,135.92606,132.78073,132.67897,135.98022,139.63661,146.21571,146.79858,143.6353,146.1137,152.20317,156.46635,157.63252,153.60596,159.05217,160.23494,161.13692,158.9455,160.03789,159.94289,154.69763
Fat (g/person/day),159.21008,160.84718,154.52837,151.68791,156.01485,152.48145,162.48117,163.08948,162.26588,168.40457,175.19264,174.57681,174.27321,173.228,163.45792,164.34262,162.49522,165.9534,166.9479,179.9705,185.74391
Fat (g/person/day),36.92099,38.421967,40.74663,45.873936,49.56617,49.50098,48.845573,47.413906,48.72213,52.08544,59.840454,60.706104,64.72896,62.482212,67.892555,68.91591,69.73934,74.713066,80.860344,83.315636,85.4416
Fat (g/person/day),86.053665,87.6629,88.35708,85.51011,87.06558,87.430016,87.86998,88.808815,89.72241,94.361145,101.836975,90.934395,101.92911,99.07268,97.82753,96.05543,91.70642,94.7564,101.870865,100.4596,97.265656
Fat (g/person/day),,,,,,,,,,,,,,,,,,,,144.56667,156.8356
Fat (g/person/day),28.066233,27.913881,24.226826,26.327456,27.404467,27.9134,29.617994,29.080877,28.124422,29.990927,26.752052,27.288523,28.078318,29.4652,31.723473,33.205513,32.498154,33.300205,33.964466,34.024548,34.645367
Fat (g/person/day),91.64212,87.7768,87.403694,87.13244,86.82273,92.04539,89.23091,92.14573,93.14352,94.41946,95.56817,93.98031,89.90707,91.92692,96.11911,100.18735,94.51568,94.251274,95.30343,93.91381,102.1326
Fat (g/person/day),94.04425,101.483154,99.55667,91.153824,92.605095,100.024025,109.422905,115.44737,116.288826,108.26653,121.293335,125.21672,124.43306,122.1572,125.90606,128.46938,125.809006,129.39893,128.054,131.51729,129.37495
Fat (g/person/day),161.58742,164.80803,165.5447,161.78659,160.55681,163.20055,163.69777,165.57683,163.0605,160.305,162.20477,168.4846,161.9927,162.33083,162.33049,167.15782,165.78264,167.38045,163.89679,177.39214,180.12369
