Country,Series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,Carbs (g/day),330.0792475728155,340.99038834951455,344.6529368932039,347.84516990291263,354.31504854368933,346.86063106796115,359.919854368932,378.5364563106796,383.7508495145631,386.3833495145631,402.7964077669903,401.5490533980583,396.94172330097086,405.0853155339805,408.74842233009707,413.6873786407767,403.63058252427186
Afghanistan,Fat (g/day),33.87012,29.232199,31.66532,30.613586,35.640656,37.427162,31.360086,32.642143,30.400152,31.081984,37.98676,35.84284,37.36274,37.957222,42.310184,39.029076,41.57753
Afghanistan,Protein (g/day),55.399883,53.856205,56.4055,55.67406,56.331608,54.49598,53.855133,56.96354,58.26355,58.47096,61.32341,59.7209,59.13807,59.043434,61.37425,59.59377,59.720448
Afghanistan,Life Expectancy (Years),55.298,55.798,56.454,57.344,57.944,58.361,58.684,59.111,59.852,60.364,60.851,61.419,61.923,62.417,62.545,62.659,63.136
Afghanistan,BMI,21.76888811270695,21.8795878232603,21.989516107625953,22.0979285441661,22.20432888284115,22.30908134803235,22.412375004542803,22.5152899553519,22.61796379106375,22.72105298814845,22.82425954142845,22.928317629983653,23.0334182531303,23.13955604865115,23.245760856236352,23.35208904085395,23.45829535836245
Albania,Carbs (g/day),426.6516262135922,432.9421844660194,442.0247087378641,418.7806310679611,410.96796116504856,430.66400485436895,421.60152912621356,425.8528398058252,436.2390048543689,435.3533495145631,448.75446601941746,456.11466019417475,459.7711650485437,458.66990291262135,446.0708252427184,445.0710194174757,441.2570873786408
Albania,Fat (g/day),78.480095,83.33747,84.70474,86.24786,93.16294,93.37276,96.93343,97.115425,102.057106,109.57605,105.063034,105.8946,108.85469,108.766,111.27725,111.99999,116.84985
Albania,Protein (g/day),93.883224,96.7269,102.32283,100.31184,100.04095,103.53205,103.37096,103.487656,109.041306,109.57605,106.843925,109.09557,109.7111,110.93871,110.042175,111.99999,114.51586
Albania,BMI,25.31930672325565,25.40233497331105,25.4896786214889,25.58057168516065,25.674052121913803,25.7695948985002,25.8669582984139,25.965173965062647,26.063784001290948,26.161851753081898,26.259255592697052,26.35626162293645,26.45311440041595,26.5501893231544,26.64741633658265,26.7447448039587,26.840991419728198
Albania,Life Expectancy (Years),75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86
