series,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Protein (g/person/day),55.399883,53.856205,56.4055,55.67406,56.331608,54.49598,53.855133,56.96354,58.26355,58.47096,61.32341,59.7209,59.13807,59.043434,61.37425,59.59377,59.720448,60.58936,58.4226,56.4641,56.57622
Protein (g/person/day),93.883224,96.7269,102.32283,100.31184,100.04095,103.53205,103.37096,103.487656,109.041306,109.57605,106.843925,109.09557,109.7111,110.93871,110.042175,111.99999,114.51586,114.90483,113.12469,115.75274,113.01
Protein (g/person/day),78.19821,79.70269,82.30619,84.587494,85.88035,86.67314,86.41436,85.9356,86.23912,89.44816,87.56365,89.055305,91.56232,91.22335,91.44489,91.66652,90.61299,89.183975,91.109406,92.73892,90.39325
Protein (g/person/day),33.525528,34.17604,36.52878,36.824547,36.5653,37.951504,38.96162,40.577007,43.329113,43.298622,46.78358,49.71176,51.19627,52.57524,58.564945,54.305336,50.4826,52.895245,51.672585,47.963795,47.035397
Protein (g/person/day),73.64646,71.60336,71.60174,72.80095,72.53346,86.65857,83.88325,85.69465,87.0651,84.874985,78.48233,84.18932,84.80864,84.22315,83.28654,82.81087,79.76539,83.84284,85.69857,84.73635,86.69476
Protein (g/person/day),104.31575,100.719315,89.80656,91.80492,90.90622,95.05089,97.0457,97.47897,97.87538,96.77337,100.22973,99.2602,99.87791,103.28936,101.37761,106.43015,103.638306,105.40784,108.36153,113.10882,114.645195
Protein (g/person/day),63.422283,63.726845,65.06071,69.05578,74.08683,76.55107,80.26218,81.82598,87.41135,84.68557,92.121635,95.096245,94.945915,98.08151,102.02727,103.4401,105.29094,105.3625,106.110435,105.260056,104.9213
Protein (g/person/day),102.58387,102.030594,106.09704,111.05368,102.99226,106.726494,106.638985,110.48907,108.43955,105.12414,111.55395,111.55573,110.94637,110.077896,108.41084,108.74234,109.27307,106.716835,107.43948,110.23656,114.11844
Protein (g/person/day),106.15674,107.014534,106.220726,102.36527,100.75791,102.83936,101.57326,103.873474,102.035225,102.71655,106.83925,108.10303,103.66225,105.97703,107.3792,107.5332,109.731834,107.69476,110.37671,109.99318,107.25444
Protein (g/person/day),66.57672,68.22545,70.10002,72.30238,74.4383,81.02769,85.726944,86.68842,87.86556,88.06046,89.066444,90.30669,89.25505,90.2727,88.81259,89.11069,89.452965,91.71242,91.16021,95.02991,96.896904
Protein (g/person/day),84.98097,85.208664,86.00731,81.215935,76.77013,77.07236,80.31486,79.79216,79.746864,84.17579,84.5186,74.722984,85.2569,82.914246,80.733215,80.750946,79.27781,78.13717,78.53286,75.9103,75.30493
Protein (g/person/day),,,,,,,,,,,,,,,,,,,,101.45589,109.29431
Protein (g/person/day),49.656433,50.91623,51.9978,52.21646,53.343563,52.891224,52.67453,54.635876,53.07416,56.282665,54.379265,54.89505,55.5212,55.717102,56.04612,57.599785,57.254887,58.694817,60.4459,59.705494,60.417896
Protein (g/person/day),81.28144,85.85807,86.54243,86.85891,84.65495,91.17099,88.50893,92.04406,88.49399,87.64318,89.57334,88.5155,85.67082,88.43939,88.406166,90.748665,89.548195,89.43678,91.78393,91.158264,89.90863
Protein (g/person/day),84.4199,86.02146,83.90524,82.98905,84.77055,86.67711,88.643074,89.75339,88.70794,89.38578,89.39441,88.52462,89.422,88.1609,88.640205,86.24953,86.47059,86.95709,87.87504,98.54025,101.87174
Protein (g/person/day),96.614334,100.74932,100.47897,99.302185,99.106064,99.175255,100.16759,101.4108,98.80445,96.6496,97.49184,97.03187,99.2189,99.606636,98.8701,99.27911,100.1478,98.827286,98.36616,103.36764,105.04291
Protein (g/person/day),70.87888,73.991066,76.377655,76.860756,75.700096,74.10527,70.7392,69.92604,66.640915,66.9585,70.11496,68.73456,69.5921,69.14078,68.447395,69.434654,69.45702,66.941086,72.18415,70.966705,73.116295
Protein (g/person/day),54.872894,53.672897,59.21594,56.780285,59.082092,58.010994,58.426216,60.471424,63.23887,63.7424,62.269928,62.253757,64.03364,63.541035,66.69446,65.76148,64.25629,61.88426,60.778503,65.033615,63.54479
Protein (g/person/day),88.87115,86.498184,85.292656,80.05889,75.98337,79.72054,84.463036,87.30315,92.5431,92.53333,,,,,,,,,,,
Protein (g/person/day),,,,,,,,,,,,,,,,,,,,87.9555,89.944855
Protein (g/person/day),55.52174,55.050476,56.263577,56.994728,55.45929,57.83156,60.47692,63.050922,63.101032,62.58474,64.90438,65.33767,65.15646,64.43921,65.49547,72.07075,71.96306,72.80248,72.85072,74.67622,74.138664
Protein (g/person/day),71.013336,73.595695,76.884674,75.661644,83.51285,83.014984,82.71203,85.40443,88.96165,89.61424,86.08495,87.02734,88.80108,88.18413,91.0314,94.7752,95.85116,94.58613,97.22322,99.84374,100.992874
Protein (g/person/day),66.237076,68.853264,66.89262,61.425556,62.362602,59.100147,56.269123,55.83445,57.69275,61.151325,68.92913,72.56309,71.475006,67.68785,67.13241,68.39125,66.340225,64.58433,65.24562,64.953575,67.07454
Protein (g/person/day),78.801926,79.183426,80.8421,84.01494,83.43713,82.78853,84.0831,84.92027,88.16333,88.07274,92.12897,93.36316,92.190475,93.79006,93.92775,92.486046,92.89612,93.81713,96.44879,92.12987,92.76206
Protein (g/person/day),82.87647,88.52069,90.88387,90.587456,90.41224,86.74985,86.93678,83.86283,85.84691,84.6805,,,,,,,,,,,
