iso3,country,disaggregation,disagg.value,region,subregion,section,adult_fem_diabetes_track,adult_fem_obesity_track,adult_mal_diabetes_track,adult_mal_obesity_track,anaemia_track,ebf_track,lbw_track,rbp_female_track,rbp_male_track,sodium_track,under_5_overweight_track,under_5_stunting_track,under_5_wasting_track
AFG,Afghanistan,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No data,Off course,Off course,Off course,On course,Some progress,Some progress
AGO,Angola,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,Some progress,Off course,Off course,Off course,Off course,No progress or worsening,On course
ALB,Albania,all,,Europe,Southern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,On course,Off course,Off course,Off course,On course,On course,On course
AND,Andorra,all,,Europe,Southern Europe,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,No data,No data,No data,No data
ARE,United Arab Emirates,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,No data,No data,No data
ARG,Argentina,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No data,No progress or worsening,On course,Off course,Off course,On course,No progress or worsening,On course
ARM,Armenia,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No progress or worsening,Off course,Off course,Off course,On course,On course,On course
ATG,Antigua and Barbuda,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,No data,No data,No data
AUS,Australia,all,,Oceania,Australia and New Zealand,The burden of malnutrition at a glance,On course,Off course,On course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,Off course,On course,No data
AUT,Austria,all,,Europe,Western Europe,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,Some progress,On course,On course,Off course,No data,No data,No data
AZE,Azerbaijan,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,On course,Some progress,On course
BDI,Burundi,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,Some progress,Off course,Off course,Off course,Off course,No progress or worsening,On course
BEL,Belgium,all,,Europe,Western Europe,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,Off course,Off course,Off course,On course,No data
BEN,Benin,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,Some progress,Off course,Off course,Off course,Off course,Some progress,No progress or worsening
BFA,Burkina Faso,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,Some progress,Off course,Off course,Off course,Off course,Some progress,Some progress
BGD,Bangladesh,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,Some progress,Off course,Off course,Off course,Off course,Some progress,Some progress
BGR,Bulgaria,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,On course,Some progress,No data
BHR,Bahrain,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,Off course,Off course,Off course,Some progress,No data
BHS,Bahamas,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,Off course,Off course,No data,No data,No data
BIH,Bosnia and Herzegovina,all,,Europe,Southern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,On course,Off course,Off course,Off course,On course,No progress or worsening,No data
BLR,Belarus,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No progress or worsening,On course,Off course,Off course,On course,On course,No data
BLZ,Belize,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No progress or worsening,Off course,Off course,Off course,On course,Some progress,On course
BOL,Bolivia (Plurinational State of),all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No progress or worsening,No progress or worsening,Off course,Off course,Off course,On course,On course,On course
BRA,Brazil,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No data,No progress or worsening,On course,Off course,Off course,On course,No progress or worsening,No data
BRB,Barbados,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,Off course,Off course,Off course,On course,Some progress,No data
BRN,Brunei Darussalam,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,On course,Off course,Off course,Off course,On course,On course,No data
BTN,Bhutan,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,Some progress,Off course,Off course,Off course,On course,On course,No data
BWA,Botswana,all,,Africa,Southern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,Some progress,Off course,Off course,Off course,On course,Some progress,No data
CAF,Central African Republic,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,Some progress,Off course,Off course,Off course,On course,No progress or worsening,Some progress
CAN,Canada,all,,North America,Northern America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,On course,No data,No data
CHE,Switzerland,all,,Europe,Western Europe,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,No data,No data,No data
CHL,Chile,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,Off course,Off course,On course,On course,On course
CHN,China,all,,Asia,Eastern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No progress or worsening,Off course,Off course,Off course,Off course,On course,On course
CIV,Côte d’Ivoire,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,Some progress,Off course,Off course,Off course,Off course,On course,Some progress
CMR,Cameroon,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No progress or worsening,Off course,Off course,Off course,Off course,Some progress,On course
COD,Democratic Republic of the Congo,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,On course,Some progress,Off course,Off course,Off course,On course,Some progress,Some progress
COG,Congo,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,On course,Some progress,Off course,Off course,Off course,On course,Some progress,No progress or worsening
COL,Colombia,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No progress or worsening,No progress or worsening,Off course,Off course,Off course,On course,Some progress,On course
COM,Comoros,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,Some progress,Off course,Off course,Off course,On course,Some progress,No data
CPV,Cabo Verde,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No data,No data,Off course,Off course,Off course,No data,Some progress,No data
CRI,Costa Rica,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No progress or worsening,Off course,Off course,Off course,On course,No progress or worsening,On course
