region,disaggregation,disagg.value,section,BN_ODA_donated_2011,BN_ODA_donated_2012,BN_ODA_donated_2013,BN_ODA_donated_2014,BN_ODA_donated_2015,BN_ODA_donated_2016,BN_ODA_donated_2017,BN_ODA_donated_2018,BN_ODA_donated_2019,BN_ODA_donated_2020,BN_ODA_donated_percent_2011,BN_ODA_donated_percent_2012,BN_ODA_donated_percent_2013,BN_ODA_donated_percent_2014,BN_ODA_donated_percent_2015,BN_ODA_donated_percent_2016,BN_ODA_donated_percent_2017,BN_ODA_donated_percent_2018,BN_ODA_donated_percent_2019,BN_ODA_donated_percent_2020,BN_ODA_received_2011,BN_ODA_received_2012,BN_ODA_received_2013,BN_ODA_received_2014,BN_ODA_received_2015,BN_ODA_received_2016,BN_ODA_received_2017,BN_ODA_received_2018,BN_ODA_received_2019,BN_ODA_received_2020,BN_ODA_received_percent_2011,BN_ODA_received_percent_2012,BN_ODA_received_percent_2013,BN_ODA_received_percent_2014,BN_ODA_received_percent_2015,BN_ODA_received_percent_2016,BN_ODA_received_percent_2017,BN_ODA_received_percent_2018,BN_ODA_received_percent_2019,BN_ODA_received_percent_2020,Total_ODA_donated_2011,Total_ODA_donated_2012,Total_ODA_donated_2013,Total_ODA_donated_2014,Total_ODA_donated_2015,Total_ODA_donated_2016,Total_ODA_donated_2017,Total_ODA_donated_2018,Total_ODA_donated_2019,Total_ODA_donated_2020,Total_ODA_received_2011,Total_ODA_received_2012,Total_ODA_received_2013,Total_ODA_received_2014,Total_ODA_received_2015,Total_ODA_received_2016,Total_ODA_received_2017,Total_ODA_received_2018,Total_ODA_received_2019,Total_ODA_received_2020
Africa,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,237.02,368.45,536.91,560.94,472.89,585.62,597.62,597.46,500.54,491.75,0.44,0.68,0.9,1,0.79,0.97,0.93,0.95,0.75,0.61,,,,,,,,,,,54379.24,54219.9,59512.35,56309.21,59853.61,60618.72,63997.99,62747.89,66369.64,81224.61
Asia,all,,Nutrition strategies and financing,1.55,35.35,106.52,61.32,11.6,8.79,14.23,16.34,55.34,21.12,0.01,0.25,0.41,0.31,0.05,0.03,0.04,0.05,0.17,0.07,126.93,152.3,231.13,245.19,280.96,236.49,342.3,228.04,317.63,201.91,0.29,0.37,0.44,0.5,0.52,0.4,0.53,0.34,0.49,0.29,14669.62,13900.59,25941.57,19806.64,25042.69,28453.31,32198.44,35100.93,31683.37,32284.44,43376.43,41451.81,52124.24,49250.18,54327.68,58813.19,64756.97,66791.76,64326.02,69753.1
Australia and New Zealand,all,,Nutrition strategies and financing,10.64,9.55,7.69,8.2,6.26,4.59,0.98,12.74,4.32,3.44,0.31,0.25,0.21,0.25,0.2,0.17,0.04,0.44,0.16,0.13,,,,,,,,,,,,,,,,,,,,,3425.57,3832.88,3675.31,3338.94,3188.9,2713.98,2697.98,2906.07,2694.82,2752.36,,,,,,,,,,
Caribbean,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,11.16,18.11,28.25,9.8,23.94,14.69,16.65,16.98,10.55,9.53,0.46,0.85,1.53,0.56,0.94,0.3,0.66,0.66,0.51,0.35,,,,,,,,,,,2450.61,2136.69,1845.78,1764.82,2553.24,4852.98,2528.04,2560.93,2051.23,2755.98
Central America,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,15.7,32.99,33,28.59,63.42,9.86,8.89,8.71,11.53,7.12,0.48,1.35,1.16,1.08,2.42,0.35,0.28,0.3,0.4,0.13,,,,,,,,,,,3298.9,2449.26,2838.13,2657.03,2618.11,2788.29,3148.13,2893.26,2864.81,5560.03
Central Asia,all,,Nutrition strategies and financing,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2.5,1.17,2.73,5.69,2.55,1.6,2.51,3.13,0.8,2.26,0.2,0.1,0.22,0.46,0.12,0.08,0.14,0.14,0.03,0.07,,,5.14,25.94,36.16,21.24,24.76,33.69,27.47,30.19,1231.59,1211.32,1257.06,1238.74,2080.61,1888.87,1853.52,2277.52,2359.62,3172.36
Eastern Africa,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,88.64,160.17,248.08,267.05,241.63,330.52,365.51,344.09,327.93,290.38,0.48,0.78,1.07,1.27,1.09,1.41,1.43,1.41,1.29,0.91,,,,,,,,,,,18608.35,20429.82,23185.59,21022.19,22130.47,23362.15,25630.02,24427.89,25400.2,31800.1
Eastern Asia,all,,Nutrition strategies and financing,1.55,35.35,106.52,59.72,6.18,8.36,13.14,16.01,23.59,19.08,0.01,0.28,0.53,0.41,0.04,0.05,0.07,0.1,0.14,0.1,1.92,3.46,11.7,4.66,1.99,3.41,3.22,0.7,1.02,0.75,0.07,0.13,0.53,0.26,0.09,0.16,0.13,0.03,0.05,0.03,13497.41,12692.93,20194.57,14392.05,15405.37,15538.07,17728.82,15736.46,17167.36,18812.3,2859.49,2730.08,2201.39,1768.14,2139.66,2180.35,2454.02,2067.49,1972.78,2469.08
Eastern Europe,all,,Nutrition strategies and financing,0,0,0.37,0.36,0.46,0.32,0.7,0.01,0.16,0.06,0,0,0.18,0.13,0.14,0.07,0.14,0,0.03,0.01,0.07,0.11,0.01,0.2,0.11,0.18,0.08,0,0.11,0.03,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0,71.13,66.93,205.24,269.21,327.29,428.73,482.43,593.42,595.32,653.55,1207.6,1279.87,1188.59,1975.64,2101.31,2181.49,1739.65,1728.53,1954.56,3995.3
Europe,all,,Nutrition strategies and financing,80.32,102.72,181.21,198.61,234.4,279.87,304.43,324.5,373.71,365.6,0.16,0.21,0.37,0.37,0.38,0.39,0.44,0.48,0.55,0.5,0.21,0.2,0.07,0.23,0.17,0.27,0.17,0.1,0.22,0.39,0.01,0.01,0,0.01,0,0.01,0,0,0,0.01,49583.26,47809.39,49501.58,53282.21,61662.72,70976.37,69918.05,67261.18,68165.6,73302.26,3832.68,3738.98,3322.85,4066.85,4336.14,4519.86,5284.08,4670.13,4379.36,6526.94
