region,disaggregation,disagg.value,section,environmental_impacts_beef_lamb_2018,environmental_impacts_eggs_2018,environmental_impacts_fish_2018,environmental_impacts_fruit_veg_2018,environmental_impacts_grains_2018,environmental_impacts_legumes_2018,environmental_impacts_milk_2018,environmental_impacts_nuts_seeds_2018,environmental_impacts_oils_2018,environmental_impacts_pork_poultry_2018,environmental_impacts_roots_2018,environmental_impacts_sugar_2018,impacts_total_2018,planetary_impacts_Cropland_2010,planetary_impacts_Cropland_2018,planetary_impacts_Freshwater_2010,planetary_impacts_Freshwater_2018,planetary_impacts_Greenhouse gases_2010,planetary_impacts_Greenhouse gases_2018,planetary_impacts_Nitrogen_2010,planetary_impacts_Nitrogen_2018,planetary_impacts_Phosphorus_2010,planetary_impacts_Phosphorus_2018
Africa,emission_type,Freshwater use,Environmental impacts,3.63,1.82,0.67,57.89,55.55,7.25,4.36,7.91,4.09,6.2,11.22,40.29,200.88,,,,,,,,,,
Africa,emission_type,Greenhouse gas emissions (life-cycle),Environmental impacts,647.99,19.57,71.3,268.88,804.7,40.22,158.21,31.99,95.69,88.08,368.24,90.07,2684.94,,,,,,,,,,
Africa,emission_type,Land use,Environmental impacts,11361.99,26.26,19.01,195.46,1047.21,286.36,3693.52,91.07,255.48,102.11,502.45,67.73,17648.66,,,,,,,,,,
Africa,emission_type,Nitrogen application,Environmental impacts,257.68,182.71,51.96,1502.89,3597.74,4.35,267.82,25.21,328.64,577.24,291.6,518.65,7606.49,,,,,,,,,,
Africa,emission_type,Phosphorus application,Environmental impacts,39.02,24.93,10.48,237.73,481.64,7.19,46.41,3.49,79,84.87,42.28,82.87,1139.9,,,,,,,,,,
Africa,food_group,beef_lamb,Environmental impacts,,,,,,,,,,,,,,5.49,4.92,2.06,1.83,130.86,121.37,4.79,4.31,4.21,3.8
Africa,food_group,eggs,Environmental impacts,,,,,,,,,,,,,,1.83,1.8,0.72,0.71,0.72,0.71,1.69,1.66,1.31,1.29
Africa,food_group,fish,Environmental impacts,,,,,,,,,,,,,,0.6,0.62,0.28,0.29,0.09,0.09,0.82,0.84,0.86,0.89
Africa,food_group,fruit_veg,Environmental impacts,,,,,,,,,,,,,,10.27,10.43,17.95,17.86,2.64,2.64,19.4,19.59,15.07,15.25
Africa,food_group,grains,Environmental impacts,,,,,,,,,,,,,,50.2,48.21,28.97,29.31,5.42,5.35,58.55,58.9,44.81,44.94
Africa,food_group,legumes,Environmental impacts,,,,,,,,,,,,,,11.84,11.7,7.18,7.11,0.93,0.92,0.08,0.06,0.37,0.31
Africa,food_group,milk,Environmental impacts,,,,,,,,,,,,,,7.66,4.94,2.38,1.54,17.64,11.38,5.63,3.63,6.16,3.98
Africa,food_group,nuts_seeds,Environmental impacts,,,,,,,,,,,,,,4.59,4.58,2.45,2.45,0.85,0.84,2.15,2.15,1.74,1.74
Africa,food_group,oils,Environmental impacts,,,,,,,,,,,,,,6.13,6.59,1.54,1.67,2.22,2.32,4.42,4.7,5.17,5.55
Africa,food_group,pork_poultry,Environmental impacts,,,,,,,,,,,,,,5.2,5.75,1.7,1.9,3.18,3.46,4.93,5.47,3.99,4.43
Africa,food_group,roots,Environmental impacts,,,,,,,,,,,,,,7.63,8.21,6.93,7.46,2.13,2.29,8.58,9.24,8.73,9.39
Africa,food_group,sugar,Environmental impacts,,,,,,,,,,,,,,2.61,2.8,13.38,14.37,0.62,0.67,6.89,7.4,5.36,5.75
Africa,food_group,total,Environmental impacts,,,,,,,,,,,,,,121.57,121.72,102.48,111.59,173.2,160.81,131.5,138.04,106.36,110.02
Asia,emission_type,Freshwater use,Environmental impacts,18.44,34.01,7.65,249.79,407.61,67.76,43.23,37.31,28.51,61.69,20.38,260.46,1236.84,,,,,,,,,,
Asia,emission_type,Greenhouse gas emissions (life-cycle),Environmental impacts,1356.09,215.16,505.34,730.44,622.93,73.83,939.93,79.55,308.29,923.05,106.79,188.11,6049.51,,,,,,,,,,
Asia,emission_type,Land use,Environmental impacts,9787.17,321.96,66.68,595.52,918.13,452.75,5868.18,232.26,884.93,1106.05,153.64,215.11,20602.38,,,,,,,,,,
Asia,emission_type,Nitrogen application,Environmental impacts,958.63,2144,865.83,15725.8,17582.2,82.36,2165.49,680.47,1918.28,5657.21,1326.22,3496.56,52603.06,,,,,,,,,,
Asia,emission_type,Phosphorus application,Environmental impacts,189.8,397.48,190.23,2607.15,2954.25,87.74,522.76,146.68,553.68,1056.39,268.72,580.29,9555.16,,,,,,,,,,
Asia,food_group,beef_lamb,Environmental impacts,,,,,,,,,,,,,,3.25,3.39,1.2,1.25,82.37,86.47,2.86,2.98,2.53,2.64
Asia,food_group,eggs,Environmental impacts,,,,,,,,,,,,,,6.37,7.41,2.51,2.91,2.51,2.92,5.87,6.83,4.54,5.28
Asia,food_group,fish,Environmental impacts,,,,,,,,,,,,,,1.41,1.74,0.69,0.84,0.21,0.25,1.85,2.29,1.98,2.45
Asia,food_group,fruit_veg,Environmental impacts,,,,,,,,,,,,,,16.39,18.34,24.15,27.01,3.92,4.37,30.13,33.64,24.02,26.79
Asia,food_group,grains,Environmental impacts,,,,,,,,,,,,,,26.84,27.21,25.01,25.6,3.66,3.74,42.44,43.48,32.07,32.83
Asia,food_group,legumes,Environmental impacts,,,,,,,,,,,,,,7.1,7.86,4.12,4.56,0.55,0.61,0.19,0.21,0.89,1.01
